LNAA001	额度状态为冻结关联时需授权
LNAA002	放款金额大于可用金额，需授权
LNAA003	协议有未放款的放款计划，结清时需授权
LNAA004	协议尚欠保证金，结清时需授权
LNAA005	存在欠还本息，需授权
LNAA006	项目协议到期前提示天数内，需授权
LNPA001	确认要修改&1吗
LNPA002	借据起始日与项目协议到期日之间，不足提示天数
LNPA003	贷款协议下存在欠款
LNPA004	项目协议可用额度不足
LNPA005	协议有未放款的放款计划,确认要结清吗
LNPA006	协议尚欠保证金,确认要结清吗
LNPA007	贷款大类为个人贷款且追加放款标志为‘Y’(是)
LNPA008	该利率资料需手工补重定价
LNPA009	是否允许&1大于&2
LNPA010	结算标示为N时，需在结算账户栏位输入内部账户
LNPA020	贷款性质需为正常
LNPA172	借据生效日大于额度开始日的借据数量&1
LNPA173	该额度上期额度状态不为失效或终止
LNRA001	字段&1为必输，不允许为空
LNRA002	&1记录在文件&2中已存在
LNRA003	写文件&1出错
LNRA004	列表&1的上送值&2错误
LNRA005	&1打开错误
LNRA006	无符合条件记录
LNRA007	删除文件&1失败
LNRA008	更新文件&1出错
LNRA009	&1记录在文件&2中不存在
LNRA010	&1字段输入值不合法
LNRA011	&1不能小于&2
LNRA012	&1与&2应为空
LNRA013	存在未结清协议,不允许此操作
LNRA014	&1小于等于&2
LNRA016	&1不能同时为空
LNRA017	字段&1不能与其他值同时输入
LNRA018	&1日期非法
LNRA019	&1不能大于&2
LNRA020	贷款状态已经结清或无效
LNRA021	借据余额不能为零
LNRA022	读文件&1错误
LNRA023	&1字段在表&2中为空
LNRA024	借据余额与传入值不符
LNRA025	手工自定义方式不需要产生还款计划
LNRA026	无自定义阶段还款计划
LNRA027	借据开始日期与第一阶段开始日期不符
LNRA028	存在逾期的协议,不允许此操作
LNRA029	协议编号&1不存在
LNRA030	协议编号&1借据序号&2不存在
LNRA031	协商定价模式不能重定价
LNRA032	贷款协议状态应为&1状态
LNRA033	&1无符合条件记录
LNRA034	产品不适用机构币种或客户
LNRA035	&1状态为&2
LNRA036	已经存在此关联
LNRA037	&1与&2已经取消关联
LNRA038	额度授信客户与协议客户不同
LNRA039	额度与协议循环标识不同
LNRA040	调用参数维护组件出错
LNRA041	首笔标识非法
LNRA042	借据状态已结清或撤销不能维护利率资料
LNRA043	协议状态已结清或撤销不能维护利率资料
LNRA044	电子指令&1不存在
LNRA045	正常利率资料已存在相同记录
LNRA046	未找到指定的正常利率资料
LNRA047	不重定价时重定价信息应为空
LNRA048	电子指令&1已完成审核
LNRA049	电子指令&1状态不为待处理
LNRA050	电子指令&1尚未处理
LNRA051	电子指令&1非待处理与待审核状态，不允许撤销
LNRA052	未找到指定的协议还款基本信息
LNRA053	期数需录入
LNRA054	参考定价方式只能输入利率组1的数据
LNRA055	非协商定价方式必须输入利率基准种类1
LNRA056	协商定价方式只能输入利率不能输入利率组信息
LNRA057	比较定价方式必须输入多于1组利率数据
LNRA058	利率档期与自动套档结果不一致
LNRA059	非资助类贷款
LNRA060	项目协议已失效
LNRA061	项目协议资助信息已失效
LNRA062	还款计划记录不存在
LNRA063	重定价输入与产品属性定义不一致
LNRA064	开始日期需小于结束日期
LNRA065	银承协议&1非正常状态，不允许做签发
LNRA066	签发金额必须大于0
LNRA067	电票签发票据类型必须为电票
LNRA068	银承协议&1票据类型非电票
LNRA069	起息日期不能小于协议签约日期
LNRA070	未读到本金计划
LNRA071	只能维护本金计划
LNRA072	计划还款日需录入
LNRA073	维护方式需录入
LNRA074	该还款日已经存在
LNRA075	产品不允许&1
LNRA076	不能删除协议（借据）初始利率资料
LNRA077	产品最高最低期限类型不一致
LNRA078	产品期限类型若按天则协议需一致
LNRA079	指令中总笔数&1与明细总笔数&2不符
LNRA080	指令中总金额&1与明细总金额&2不符
LNRA081	还款金额不能为零
LNRA083	该关联关系已经存在
LNRA084	该关联关系不存在
LNRA085	子项目协议号后两位序号为99
LNRA086	该协议不允许扣保证金
LNRA087	未找到相应的利率档期
